COG_Category_ID	COG_Category_1_Annotation	COG_Category_2_Annotation	COG_Category_3_Annotation	COG_Category_4_Annotation
A	RNA processing and modification	None	None	None
B	Chromatin structure and dynamics	None	None	None
C	Energy production and conversion	None	None	None
CE	Energy production and conversion	Amino acid transport and metabolism	None	None
CHR	Energy production and conversion	Coenzyme transport and metabolism	General function prediction only	None
CI	Energy production and conversion	Lipid transport and metabolism	None	None
CIR	Energy production and conversion	Lipid transport and metabolism	None	None
CO	Energy production and conversion	"Posttranslational modification, protein turnover, chaperones"	None	None
CP	Energy production and conversion	Inorganic ion transport and metabolism	None	None
CPO	Energy production and conversion	Inorganic ion transport and metabolism	"Posttranslational modification, protein turnover, chaperones"	None
CR	Energy production and conversion	General function prediction only	None	None
CT	Energy production and conversion	Signal transduction mechanisms	None	None
D	"Cell cycle control, cell division, chromosome partitioning"	None	None	None
DE	"Cell cycle control, cell division, chromosome partitioning"	Amino acid transport and metabolism	None	None
DH	"Cell cycle control, cell division, chromosome partitioning"	Coenzyme transport and metabolism	None	None
DI	"Cell cycle control, cell division, chromosome partitioning"	Lipid transport and metabolism	None	None
DL	"Cell cycle control, cell division, chromosome partitioning"	"Replication, recombination and repair"	None	None
DM	"Cell cycle control, cell division, chromosome partitioning"	Cell wall/membrane/envelope biogenesis	None	None
DN	"Cell cycle control, cell division, chromosome partitioning"	Cell motility	None	None
DP	"Cell cycle control, cell division, chromosome partitioning"	Inorganic ion transport and metabolism	None	None
DPM	"Cell cycle control, cell division, chromosome partitioning"	Inorganic ion transport and metabolism	Cell wall/membrane/envelope biogenesis	None
DR	"Cell cycle control, cell division, chromosome partitioning"	General function prediction only	None	None
DZ	"Cell cycle control, cell division, chromosome partitioning"	Cytoskeleton	None	None
E	Amino acid transport and metabolism	None	None	None
EF	Amino acid transport and metabolism	Nucleotide transport and metabolism	None	None
EG	Amino acid transport and metabolism	Carbohydrate transport and metabolism	None	None
EH	Amino acid transport and metabolism	Coenzyme transport and metabolism	None	None
EHJQ	Amino acid transport and metabolism	Coenzyme transport and metabolism	"Translation, ribosomal structure and biogenesis"	"Secondary metabolites biosynthesis, transport and catabolism"
EM	Amino acid transport and metabolism	Cell wall/membrane/envelope biogenesis	None	None
EP	Amino acid transport and metabolism	Inorganic ion transport and metabolism	None	None
EQ	Amino acid transport and metabolism	"Secondary metabolites biosynthesis, transport and catabolism"	None	None
ER	Amino acid transport and metabolism	General function prediction only	None	None
ET	Amino acid transport and metabolism	Signal transduction mechanisms	None	None
F	Nucleotide transport and metabolism	None	None	None
FH	Nucleotide transport and metabolism	Coenzyme transport and metabolism	None	None
FJ	Nucleotide transport and metabolism	"Translation, ribosomal structure and biogenesis"	None	None
FL	Nucleotide transport and metabolism	"Replication, recombination and repair"	None	None
FM	Nucleotide transport and metabolism	Cell wall/membrane/envelope biogenesis	None	None
FP	Nucleotide transport and metabolism	Inorganic ion transport and metabolism	None	None
FR	Nucleotide transport and metabolism	General function prediction only	None	None
FT	Nucleotide transport and metabolism	Signal transduction mechanisms	None	None
