COG_ID	COG_Category_ID	Annotation	Gene	Pathway
COG0001	H	Glutamate-1-semialdehyde aminotransferase	HemL	Heme biosynthesis
COG0002	E	N-acetyl-gamma-glutamylphosphate reductase	ArgC	Arginine biosynthesis
COG0003	P	"Anion-transporting ATPase, ArsA/GET3 family"	ArsA	
COG0004	P	Ammonia channel protein AmtB	AmtB	
COG0005	F	Purine nucleoside phosphorylase	XapA	Purine salvage
COG0006	E	Xaa-Pro aminopeptidase	PepP	
COG0007	H	Uroporphyrinogen-III methylase (siroheme synthase)	CysG	Cobalamine/B12 biosynthesis
COG0008	J	Glutamyl- or glutaminyl-tRNA synthetase	GlnS	Heme biosynthesis
COG0009	J	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	TsaC	tRNA modification
COG0010	E	Arginase/agmatinase family enzyme	SpeB	Urea cycle
COG0011	H	"Thiamin-binding stress-response protein YqgV, UPF0045 family"	YqgV	
COG0012	J	"Ribosome-binding ATPase YchF, GTP1/OBG family"	GTP1	
COG0013	J	Alanyl-tRNA synthetase	AlaS	Aminoacyl-tRNA synthetases
COG0014	E	Gamma-glutamyl phosphate reductase	ProA	Proline biosynthesis
COG0015	F	Adenylosuccinate lyase	PurB	Purine biosynthesis
COG0016	J	Phenylalanyl-tRNA synthetase alpha subunit	PheS	Aminoacyl-tRNA synthetases
COG0017	J	Aspartyl/asparaginyl-tRNA synthetase	AsnS	Aminoacyl-tRNA synthetases
COG0018	J	Arginyl-tRNA synthetase	ArgS	Aminoacyl-tRNA synthetases
COG0019	E	Diaminopimelate decarboxylase	LysA	Lysine biosynthesis
COG0020	I	Undecaprenyl pyrophosphate synthase	UppS	
COG0021	G	Transketolase	TktA	Pentose phosphate pathway
COG0022	C	"Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit"	AcoB	Pyruvate oxidation
COG0023	J	Translation initiation factor 1 (eIF-1/SUI1)	SUI1	Translation factors
COG0024	J	Methionine aminopeptidase	Map	
COG0025	P	NhaP-type Na+/H+ or K+/H+ antiporter	NhaP	
COG0026	F	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	PurK	Purine biosynthesis
COG0027	F	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	PurT	Purine biosynthesis
COG0028	EH	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	IlvB	"Isoleucine, leucine, valine biosynthesis"
COG0029	H	Aspartate oxidase	NadB	NAD biosynthesis
COG0030	J	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	RsmA	16S rRNA modification
COG0031	E	Cysteine synthase	CysK	Cysteine biosynthesis
COG0033	G	Phosphoglucomutase/phosphomannomutase	Pgm	
COG0034	F	Glutamine phosphoribosylpyrophosphate amidotransferase	PurF	Purine biosynthesis
COG0035	F	Uracil phosphoribosyltransferase	Upp	Pyrimidine salvage
COG0036	G	Pentose-5-phosphate-3-epimerase	Rpe	Pentose phosphate pathway
COG0037	J	tRNA(Ile)-lysidine synthase TilS/MesJ	TilS	tRNA modification
COG0038	P	H+/Cl- antiporter ClcA	ClcA	
COG0039	C	Malate/lactate dehydrogenase	Mdh	TCA cycle
COG0040	E	ATP phosphoribosyltransferase	HisG	Histidine biosynthesis
COG0041	F	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	PurE	Purine biosynthesis
COG0042	J	tRNA-dihydrouridine synthase	DusA	tRNA modification
COG0043	H	3-polyprenyl-4-hydroxybenzoate decarboxylase	UbiD	Ubiquinone biosynthesis
COG0044	F	Dihydroorotase or related cyclic amidohydrolase	AllB	Pyrimidine biosynthesis
COG0045	C	"Succinyl-CoA synthetase, beta subunit"	SucC	TCA cycle
COG0046	F	"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain"	PurL1	Purine biosynthesis
COG0047	F	"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain"	PurL2	Purine biosynthesis
COG0048	J	Ribosomal protein S12	RpsL	Ribosome 30S subunit
COG0049	J	Ribosomal protein S7	RpsG	Ribosome 30S subunit
COG0050	J	"Translation elongation factor EF-Tu, a GTPase"	TufA	Translation factors
