Domain	Phylum	Class	Order	Family	Genus	Species	tax_id	tax_level	21hA_minus_num	21hA_minus_frac	21hA_plus_num	21hA_plus_frac	21hB_minus_num	21hB_minus_frac	21hB_plus_num	21hB_plus_frac	21hC_minus_num	21hC_minus_frac	21hC_plus_num	21hC_plus_frac	4hA_minus_num	4hA_minus_frac	4hA_plus_num	4hA_plus_frac	4hB_minus_num	4hB_minus_frac	4hB_plus_num	4hB_plus_frac	4hC_minus_num	4hC_minus_frac	4hC_plus_num	4hC_plus_frac	SYTO_10_num	SYTO_10_frac	SYTO_11_num	SYTO_11_frac	SYTO_12_num	SYTO_12_frac	SYTO_13_num	SYTO_13_frac	SYTO_14_num	SYTO_14_frac	SYTO_15_num	SYTO_15_frac	SYTO_16_num	SYTO_16_frac	SYTO_17_num	SYTO_17_frac	SYTO_18_num	SYTO_18_frac	SYTO_1_num	SYTO_1_frac	SYTO_2_num	SYTO_2_frac	SYTO_3_num	SYTO_3_frac	SYTO_4_num	SYTO_4_frac	SYTO_5_num	SYTO_5_frac	SYTO_6_num	SYTO_6_frac	SYTO_7_num	SYTO_7_frac	SYTO_8_num	SYTO_8_frac	SYTO_9_num	SYTO_9_frac	Total_A_num	Total_A_frac	Total_B_num	Total_B_frac	Total_C_num	Total_C_frac
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas glaciei	2938948	S	40264	0.00285	25585	0.00305	1439	0.00014	19977	0.00286	37327	0.00492	39821	0.00341	57868	0.00584	50080	0.00463	23541	0.00082	27052	0.0035	16256	0.00102	31919	0.00214	31694	0.00115	21080	0.00123	40297	0.00137	10365	0.00078	12706	0.00096	8731	0.00073	14712	0.00084	12316	0.00086	556	0.00057	52748	0.00175	9593	0.00104	35832	0.00138	4533	0.00034	4633	0.00034	6037	0.0003	15445	0.00107	9423	0.00122	51087	0.00133	60642	0.00107	53028	0.00074	42048	0.00079
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. MM-1	745310	S	91996	0.00652	29685	0.00354	2350	0.00023	52752	0.00754	111565	0.01472	80157	0.00687	87497	0.00883	121379	0.01122	64537	0.00225	77835	0.01006	36213	0.00228	86419	0.00579	61736	0.00224	43197	0.00252	78708	0.00267	29379	0.0022	34888	0.00265	21987	0.00184	41507	0.00237	32523	0.00227	607	0.00062	84287	0.00279	16042	0.00174	64955	0.00251	9747	0.00072	10027	0.00073	12441	0.00063	32507	0.00224	19625	0.00254	105190	0.00275	103466	0.00183	120892	0.00168	82303	0.00155
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. KRR8	2942996	S	28284	0.002	12202	0.00145	980	0.0001	15120	0.00216	26976	0.00356	23926	0.00205	25555	0.00258	30836	0.00285	16805	0.00059	20317	0.00263	10924	0.00069	22016	0.00148	18842	0.00068	12695	0.00074	23460	0.0008	8217	0.00062	9646	0.00073	6456	0.00054	10752	0.00061	9372	0.00065	267	0.00027	30380	0.00101	6015	0.00065	20647	0.0008	3061	0.00023	3346	0.00024	4500	0.00023	9707	0.00067	5526	0.00072	31712	0.00083	33647	0.0006	33459	0.00046	24355	0.00046
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas cannabina	2899123	S	37169	0.00263	11874	0.00142	1441	0.00014	24547	0.00351	41209	0.00544	33053	0.00283	32881	0.00332	48026	0.00444	30451	0.00106	35389	0.00457	17025	0.00107	34719	0.00233	28844	0.00105	19664	0.00115	36184	0.00123	13528	0.00101	15700	0.00119	10679	0.00089	19136	0.00109	15228	0.00106	299	0.00031	38976	0.00129	7969	0.00086	29606	0.00114	5317	0.00039	5512	0.0004	7019	0.00035	14567	0.001	9229	0.00119	44977	0.00117	35508	0.00063	45469	0.00063	26878	0.00051
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. AK-PDB1-5	2872652	S	21364	0.00151	6364	0.00076	936	0.00009	13127	0.00188	24573	0.00324	17810	0.00153	17394	0.00176	24215	0.00224	14632	0.00051	18452	0.00239	8533	0.00054	19762	0.00132	15645	0.00057	10663	0.00062	19207	0.00065	7136	0.00053	8144	0.00062	5746	0.00048	10184	0.00058	7927	0.00055	187	0.00019	22104	0.00073	4487	0.00049	16307	0.00063	3187	0.00024	3247	0.00024	4248	0.00021	8758	0.0006	4926	0.00064	25296	0.00066	20868	0.00037	25029	0.00035	16888	0.00032
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. AP4-R1	2735134	S	19768	0.0014	6054	0.00072	714	0.00007	12382	0.00177	21216	0.0028	15009	0.00129	16997	0.00172	20316	0.00188	14345	0.0005	16112	0.00208	7987	0.0005	18717	0.00125	15037	0.00055	9790	0.00057	17904	0.00061	6546	0.00049	7662	0.00058	5271	0.00044	8829	0.0005	7299	0.00051	178	0.00018	19567	0.00065	4087	0.00044	14592	0.00056	2715	0.0002	2764	0.0002	3395	0.00017	8198	0.00057	4598	0.0006	23804	0.00062	17962	0.00032	21986	0.00031	15006	0.00028
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. HDW15A	2714942	S	18902	0.00134	7039	0.00084	484	0.00005	12172	0.00174	16188	0.00214	14023	0.0012	14688	0.00148	21057	0.00195	11861	0.00041	15576	0.00201	7722	0.00049	18075	0.00121	12820	0.00047	8896	0.00052	14793	0.0005	5556	0.00042	6922	0.00053	4641	0.00039	8440	0.00048	6773	0.00047	132	0.00013	19254	0.00064	3393	0.00037	13717	0.00053	2135	0.00016	2175	0.00016	2847	0.00014	5904	0.00041	3701	0.00048	19141	0.0005	22608	0.0004	22457	0.00031	14349	0.00027
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. S2-65	2903960	S	19669	0.00139	6716	0.0008	639	0.00006	12805	0.00183	22588	0.00298	17319	0.00148	18018	0.00182	25096	0.00232	14452	0.0005	16804	0.00217	8328	0.00052	19827	0.00133	14472	0.00053	9971	0.00058	17964	0.00061	6751	0.00051	7798	0.00059	5014	0.00042	9419	0.00054	7463	0.00052	152	0.00016	19543	0.00065	4181	0.00045	14779	0.00057	2816	0.00021	3055	0.00022	3878	0.0002	7877	0.00054	4808	0.00062	23235	0.00061	16670	0.0003	21135	0.00029	14105	0.00027
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. CL5.1	2653203	S	20335	0.00144	7234	0.00086	740	0.00007	11760	0.00168	22591	0.00298	18070	0.00155	18747	0.00189	25577	0.00236	14822	0.00052	16988	0.0022	8127	0.00051	18717	0.00125	15095	0.00055	10652	0.00062	19219	0.00065	7026	0.00053	8173	0.00062	5592	0.00047	9671	0.00055	7640	0.00053	183	0.00019	21333	0.00071	4348	0.00047	16123	0.00062	2988	0.00022	3170	0.00023	4156	0.00021	8658	0.0006	5332	0.00069	26653	0.0007	21828	0.00039	25698	0.00036	17555	0.00033
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. LM7	1938607	S	16855	0.00119	5834	0.0007	628	0.00006	9799	0.0014	18662	0.00246	14035	0.0012	15550	0.00157	21983	0.00203	12140	0.00042	14324	0.00185	6878	0.00043	16380	0.0011	12606	0.00046	9066	0.00053	15322	0.00052	5869	0.00044	6849	0.00052	4854	0.00041	8053	0.00046	6538	0.00046	170	0.00017	17200	0.00057	3644	0.00039	12642	0.00049	2169	0.00016	2672	0.00019	3167	0.00016	6375	0.00044	3972	0.00051	19200	0.0005	15935	0.00028	20522	0.00029	12615	0.00024
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas qomolangmaensis	2918765	S	15343	0.00109	5041	0.0006	564	0.00006	9936	0.00142	18229	0.0024	14258	0.00122	13903	0.0014	19235	0.00178	10841	0.00038	13908	0.0018	7118	0.00045	14733	0.00099	11642	0.00042	7586	0.00044	13899	0.00047	5200	0.00039	6150	0.00047	4060	0.00034	7763	0.00044	6203	0.00043	145	0.00015	16293	0.00054	3257	0.00035	11099	0.00043	2108	0.00016	2246	0.00016	2845	0.00014	5707	0.00039	3681	0.00048	18069	0.00047	15167	0.00027	17799	0.00025	12200	0.00023
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. RMG20	2949093	S	15279	0.00108	5183	0.00062	467	0.00005	9841	0.00141	18245	0.00241	14320	0.00123	14035	0.00142	20769	0.00192	10903	0.00038	13798	0.00178	7169	0.00045	15215	0.00102	11899	0.00043	8196	0.00048	14490	0.00049	5293	0.0004	6231	0.00047	4271	0.00036	7584	0.00043	5734	0.0004	135	0.00014	15511	0.00051	3188	0.00034	11828	0.00046	1975	0.00015	2023	0.00015	2268	0.00011	6287	0.00043	3757	0.00049	20033	0.00052	15389	0.00027	18934	0.00026	12094	0.00023
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. NBWT7	2596913	S	19771	0.0014	6476	0.00077	667	0.00007	12299	0.00176	23730	0.00313	18396	0.00158	19252	0.00194	26543	0.00245	14542	0.00051	16265	0.0021	8151	0.00051	16285	0.00109	14523	0.00053	10035	0.00059	19099	0.00065	6413	0.00048	7838	0.00059	5819	0.00049	9223	0.00053	7408	0.00052	199	0.0002	19782	0.00065	4358	0.00047	15318	0.00059	2944	0.00022	3053	0.00022	3864	0.00019	8830	0.00061	5096	0.00066	26514	0.00069	23561	0.00042	28691	0.0004	18898	0.00036
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. KC8	1030157	S	13826	0.00098	4306	0.00051	532	0.00005	8062	0.00115	15317	0.00202	11225	0.00096	11034	0.00111	15880	0.00147	8532	0.0003	10791	0.00139	5667	0.00036	12702	0.00085	10028	0.00036	6665	0.00039	12142	0.00041	4113	0.00031	4746	0.00036	3323	0.00028	6047	0.00035	4997	0.00035	126	0.00013	13025	0.00043	2856	0.00031	10316	0.0004	1588	0.00012	1735	0.00013	2411	0.00012	5613	0.00039	3045	0.00039	17801	0.00046	10878	0.00019	13177	0.00018	9143	0.00017
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. FARSPH	2219696	S	36364	0.00258	12934	0.00154	1176	0.00012	18541	0.00265	42100	0.00555	32772	0.00281	38036	0.00384	49855	0.00461	25068	0.00088	28812	0.00372	14460	0.00091	35153	0.00236	26369	0.00096	17549	0.00103	31182	0.00106	11125	0.00083	12678	0.00096	8627	0.00072	15450	0.00088	13037	0.00091	318	0.00033	34589	0.00115	7054	0.00076	25335	0.00098	4378	0.00032	4624	0.00034	6006	0.0003	12447	0.00086	7848	0.00102	39749	0.00104	42191	0.00075	48246	0.00067	31277	0.00059
